FileName,Diameter (m),Pitch (m),Path
mas_9x7,0.229,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\mas_9x7_static_pg0907.txt
ma_11x10,0.279,0.254,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x10_static_3050rd.txt
ma_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x4_static_rd0593.txt
ma_11x6,0.279,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x6_static_kt0689.txt
ma_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x7_static_rd0586.txt
ma_11x8,0.279,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x8_static_pg0598.txt
ma_11x9,0.279,0.229,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_11x9_static_3041ja.txt
ma_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_9x4_static_rd0894.txt
ma_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_9x6_static_rd0886.txt
ma_9x8,0.229,0.203,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\ma_9x8_static_2624rd.txt
rusp_11x4,0.279,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\rusp_11x4_static_2952os.txt
zin_11x7,0.279,0.178,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\zin_11x7_static_3008rd.txt
zin_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V1\zin_9x6_static_2593rd.txt
apcff_4.2x4,0.107,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\apcff_4.2x4_static_0615rd.txt
apcff_9x4,0.229,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\apcff_9x4_static_1016rd.txt
apcsp_4.2x2,0.107,0.051,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\apcsp_4.2x2_static_0597rd.txt
apcsp_9x6,0.229,0.152,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\apcsp_9x6_static_0758ga.txt
da4002_5x1.58,0.127,0.04,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_5x1.58_static_1137ga.txt
da4002_5x2.65,0.127,0.067,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_5x2.65_static_1126rd.txt
da4002_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_5x3.75_static_1121md.txt
da4002_5x4.92,0.127,0.125,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_5x4.92_static_1190ga.txt
da4002_9x2.85,0.229,0.072,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_9x2.85_static_1115ga.txt
da4002_9x4.76,0.229,0.121,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_9x4.76_static_1120ga.txt
da4002_9x6.75,0.229,0.171,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_9x6.75_static_1107rd.txt
da4002_9x8.95,0.229,0.227,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4002_9x8.95_static_1092rd.txt
da4022_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4022_5x3.75_3b_static_0690md.txt
da4022_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4022_5x3.75_4b_static_0684rd.txt
da4022_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4022_5x3.75_static_0642rb.txt
da4022_9x6.75,0.229,0.171,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4022_9x6.75_3b_static_0749md.txt
da4022_9x6.75,0.229,0.171,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4022_9x6.75_4b_static_1086ga.txt
da4022_9x6.75,0.229,0.171,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4022_9x6.75_static_0767rd.txt
da4052_5x1.58,0.127,0.04,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_5x1.58_static_1160rd.txt
da4052_5x2.65,0.127,0.067,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_5x2.65_static_1142ga.txt
da4052_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_5x3.75_3b_static_1204ga.txt
da4052_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_5x3.75_4b_static_1214rd.txt
da4052_5x3.75,0.127,0.095,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_5x3.75_static_1131ga.txt
da4052_5x4.92,0.127,0.125,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_5x4.92_static_1175md.txt
da4052_9x2.85,0.229,0.072,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_9x2.85_static_1055rd.txt
da4052_9x4.76,0.229,0.121,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_9x4.76_static_1060rd.txt
da4052_9x6.75,0.229,0.171,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_9x6.75_3b_static_1080ga.txt
da4052_9x6.75,0.229,0.171,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_9x6.75_static_1041rd.txt
da4052_9x8.95,0.229,0.227,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\da4052_9x8.95_static_1066ga.txt
ef_130x70,0.13,0.07,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\ef_130x70_static_0350rd.txt
gwsdd_2.5x0.8,0.064,0.02,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_2.5x0.8_spec2_static_0465rd.txt
gwsdd_2.5x0.8,0.064,0.02,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_2.5x0.8_spec3_static_0472rd.txt
gwsdd_2.5x0.8,0.064,0.02,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_2.5x0.8_static_0500rd.txt
gwsdd_2.5x1,0.064,0.025,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_2.5x1_static_0456rd.txt
gwsdd_3x2,0.076,0.051,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_3x2_static_0392rd.txt
gwsdd_3x3,0.076,0.076,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_3x3_static_0401rd.txt
gwsdd_4.5x3,0.114,0.076,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_4.5x3_static_0341rd.txt
gwsdd_4.5x4,0.114,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_4.5x4_static_0332rd.txt
gwsdd_4x2.5,0.102,0.064,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_4x2.5_static_0374rd.txt
gwsdd_4x4,0.102,0.102,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_4x4_static_0437rd.txt
gwsdd_5x3,0.127,0.076,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_5x3_static_0323rd.txt
gwsdd_5x4.3,0.127,0.109,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_5x4.3_spec2_static_0420rd.txt
gwsdd_5x4.3,0.127,0.109,C:\Users\prenk\Box\ARG_Research\PropellerData\Propeller_Data_V2\gwsdd_5x4.3_spec3_static_0428rd.txt
